
ID,personnelNumber,firstname,lastname,position,bonus,year,createdAt,createdBy,modifiedAt,modifiedBy
1,0000001001,Max,Müller,Developer,5.50,202401,2024-01-10T08:30:00Z,admin,2024-01-12T10:00:00Z,admin
2,0000001002,Anna,Schmidt,Consultant,7.25,202401,2024-01-11T09:00:00Z,admin,2024-01-13T11:15:00Z,admin
3,0000001003,Lukas,Schneider,Manager,10.00,202401,2024-01-12T10:20:00Z,admin,2024-01-14T12:30:00Z,admin
4,0000001004,Laura,Fischer,HR Specialist,4.75,202401,2024-01-13T11:40:00Z,admin,2024-01-15T13:45:00Z,admin
5,0000001005,Tim,Weber,Developer,6.10,202401,2024-01-14T12:10:00Z,admin,2024-01-16T14:10:00Z,admin
6,0000001006,Sophie,Meyer,Consultant,7.90,202402,2024-02-01T08:00:00Z,admin,2024-02-03T09:20:00Z,admin
7,0000001007,Leon,Wagner,Architect,12.50,202402,2024-02-02T09:10:00Z,admin,2024-02-04T10:30:00Z,admin
8,0000001008,Emma,Becker,Developer,5.80,202402,2024-02-03T10:20:00Z,admin,2024-02-05T11:45:00Z,admin
9,0000001009,Paul,Hoffmann,Tester,3.60,202402,2024-02-04T11:30:00Z,admin,2024-02-06T12:50:00Z,admin
10,0000001010,Mia,Schäfer,HR Specialist,4.20,202402,2024-02-05T12:40:00Z,admin,2024-02-07T13:55:00Z,admin
11,0000001011,Noah,Koch,Developer,6.75,202403,2024-03-01T08:10:00Z,admin,2024-03-03T09:30:00Z,admin
12,0000001012,Lina,Bauer,Consultant,7.15,202403,2024-03-02T09:20:00Z,admin,2024-03-04T10:40:00Z,admin
13,0000001013,Elias,Richter,Manager,11.00,202403,2024-03-03T10:30:00Z,admin,2024-03-05T11:50:00Z,admin
14,0000001014,Hannah,Klein,Designer,5.25,202403,2024-03-04T11:40:00Z,admin,2024-03-06T12:55:00Z,admin
15,0000001015,Jonas,Wolf,Developer,6.40,202403,2024-03-05T12:50:00Z,admin,2024-03-07T13:10:00Z,admin
16,0000001016,Lea,Neumann,Consultant,7.05,202404,2024-04-01T08:20:00Z,admin,2024-04-03T09:35:00Z,admin
17,0000001017,Felix,Schwarz,Architect,13.20,202404,2024-04-02T09:30:00Z,admin,2024-04-04T10:45:00Z,admin
18,0000001018,Sarah,Zimmermann,Tester,3.90,202404,2024-04-03T10:40:00Z,admin,2024-04-05T11:55:00Z,admin
19,0000001019,David,Krüger,Developer,6.95,202404,2024-04-04T11:50:00Z,admin,2024-04-06T12:05:00Z,admin
20,0000001020,Nina,Hartmann,HR Specialist,4.60,202404,2024-04-05T12:00:00Z,admin,2024-04-07T13:15:00Z,admin
